key_resp_start.keys,key_resp_start.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
space,1.02329254326,,,2015_Oct_28_1721,84.9933292967,semantic experiment,001,,
,,space,0.80592344571,2015_Oct_28_1721,84.9933292967,semantic experiment,001,,
